section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Est Lyonnais (G),,M17,P1,6,7 novembre 2026 au 8 novembre 2026,False,M17M EXC - ENTENTE EST LYONNAIS,M17M EXC - ENTENTE NORD ISERE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652546/,
Entente Est Lyonnais (G),,M17,P1,7,14 novembre 2026 au 15 novembre 2026,False,ST GENIS LAVAL AL HANDBALL -17 m aura,M17M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652549/,
Entente Est Lyonnais (G),,M17,P1,9,28 novembre 2026 au 29 novembre 2026,False,M17M EXC - LYON METROPOLE,M17M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652557/,
Entente Est Lyonnais (G),,M17,P1,10,5 décembre 2026 au 5 décembre 2026,False,M17M EXC - ENTENTE EST LYONNAIS,UODL HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652560/,
Entente Lyon Est Handball (F),A,M13,P1,1,12 septembre 2026 au 13 septembre 2026,False,M13F EXC - ENTENTE LYON EST HANDBALL - 1,HBC St laurent de Chamousset,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654091/,
Entente Lyon Est Handball (F),A,M13,P1,3,3 octobre 2026 au 4 octobre 2026,False,M13F EXC - ENTENTE LYON EST HANDBALL - 1,VILLEURBANNE HANDBALL ASSOCIATION,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654099/,
Entente Lyon Est Handball (F),A,M13,P1,4,10 octobre 2026 au 11 octobre 2026,False,M13F EXC - ENTENTE LYON EST HANDBALL - 1,AS LYON CALUIRE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654101/,
Entente Lyon Est Handball (F),A,M13,P1,5,17 octobre 2026 au 18 octobre 2026,False,ASUL VAULX-EN-VELIN,M13F EXC - ENTENTE LYON EST HANDBALL - 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654103/,
Entente Lyon Est Handball (F),A,M13,P1,6,7 novembre 2026 au 8 novembre 2026,False,HBC St laurent de Chamousset,M13F EXC - ENTENTE LYON EST HANDBALL - 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654106/,
Entente Lyon Est Handball (F),A,M13,P1,8,21 novembre 2026 au 21 novembre 2026,False,VILLEURBANNE HANDBALL ASSOCIATION,M13F EXC - ENTENTE LYON EST HANDBALL - 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654114/,
Entente Lyon Est Handball (F),A,M13,P1,9,28 novembre 2026 au 29 novembre 2026,False,AS LYON CALUIRE,M13F EXC - ENTENTE LYON EST HANDBALL - 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654116/,
Entente Lyon Est Handball (F),A,M13,P1,10,5 décembre 2026 au 5 décembre 2026,False,M13F EXC - ENTENTE LYON EST HANDBALL - 1,ASUL VAULX-EN-VELIN,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/rencontre-2654118/,
Entente Villette Genas,A,M13,P1,1,12 septembre 2026 au 13 septembre 2026,False,-13G1 US MEYZIEU HANDBALL,M13M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653252/,
Entente Villette Genas,A,M13,P1,3,3 octobre 2026 au 4 octobre 2026,False,M13M Chaponnay,M13M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653257/,
Entente Villette Genas,A,M13,P1,4,10 octobre 2026 au 11 octobre 2026,False,M13M EXC - ENTENTE CORBAS - ST PRIEST,M13M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653262/,
Entente Villette Genas,A,M13,P1,5,17 octobre 2026 au 18 octobre 2026,False,M13M EXC - ENTENTE GENAS - VILLETTE,M13M EXC - ENTENTE BOURGOIN/VILLEFONTAINE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653264/,
Entente Villette Genas,A,M13,P1,6,7 novembre 2026 au 8 novembre 2026,False,M13M EXC - ENTENTE GENAS - VILLETTE,-13G1 US MEYZIEU HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653267/,
Entente Villette Genas,A,M13,P1,8,21 novembre 2026 au 21 novembre 2026,False,M13M EXC - ENTENTE GENAS - VILLETTE,M13M Chaponnay,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653272/,
Entente Villette Genas,A,M13,P1,9,28 novembre 2026 au 29 novembre 2026,False,M13M EXC - ENTENTE GENAS - VILLETTE,M13M EXC - ENTENTE CORBAS - ST PRIEST,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653277/,
Entente Villette Genas,A,M13,P1,10,5 décembre 2026 au 5 décembre 2026,False,M13M EXC - ENTENTE BOURGOIN/VILLEFONTAINE,M13M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/rencontre-2653279/,
Entente Lyon Est Handball (F),A,M15,P1,1,12 septembre 2026 au 13 septembre 2026,False,M15F EXC - ENTENTE LYON EST HANDBALL,PAYS VOIRONNAIS HANDBALL 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653883/,
Entente Lyon Est Handball (F),A,M15,P1,2,19 septembre 2026 au 20 septembre 2026,False,M15F EXC - PORTE DE L'ISERE,M15F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653884/,
Entente Lyon Est Handball (F),A,M15,P1,3,3 octobre 2026 au 4 octobre 2026,False,M15F EXC - ENTENTE BRON VILLEURBANNE,M15F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653889/,
Entente Lyon Est Handball (F),A,M15,P1,4,10 octobre 2026 au 11 octobre 2026,False,M15F EXC - ENTENTE LYON EST HANDBALL,HBC ECHIROLLES-EYBENS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653890/,
Entente Lyon Est Handball (F),A,M15,P1,5,17 octobre 2026 au 18 octobre 2026,False,MEYLAN HANDBALL 1,M15F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653894/,
Entente Lyon Est Handball (F),A,M15,P1,6,7 novembre 2026 au 8 novembre 2026,False,PAYS VOIRONNAIS HANDBALL 1,M15F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653898/,
Entente Lyon Est Handball (F),A,M15,P1,7,14 novembre 2026 au 15 novembre 2026,False,M15F EXC - ENTENTE LYON EST HANDBALL,M15F EXC - PORTE DE L'ISERE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653899/,
Entente Lyon Est Handball (F),A,M15,P1,8,21 novembre 2026 au 21 novembre 2026,False,M15F EXC - ENTENTE LYON EST HANDBALL,M15F EXC - ENTENTE BRON VILLEURBANNE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653904/,
Entente Lyon Est Handball (F),A,M15,P1,9,28 novembre 2026 au 29 novembre 2026,False,HBC ECHIROLLES-EYBENS,M15F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653905/,
Entente Lyon Est Handball (F),A,M15,P1,10,5 décembre 2026 au 5 décembre 2026,False,M15F EXC - ENTENTE LYON EST HANDBALL,MEYLAN HANDBALL 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/rencontre-2653909/,
